MatchNo,Innings,Bowling Team,Bowler,Overs,Maidens,Runs,Wickets
1,1,Nomads,T. Reid,2.0,0,18,2
1,1,Nomads,D. Kowalski,2.0,0,16,0
1,1,Nomads,K. Novak,1.0,0,8,0
1,2,Wanderers,H. Fischer,2.0,0,10,2
1,2,Wanderers,S. Bright,2.0,0,16,1
1,2,Wanderers,J. Okafor,1.0,0,8,0
2,1,Drifters,C. Nilsson,2.0,0,12,1
2,1,Drifters,E. Marchetti,2.0,0,15,1
2,1,Drifters,R. Alaoui,1.0,0,8,0
2,2,Ramblers,P. Kovac,2.0,0,14,1
2,2,Ramblers,G. Tanaka,1.3,0,12,1
2,2,Ramblers,S. Okonkwo,1.0,0,8,0
3,1,Vagabonds,B. Bergstrom,2.0,0,20,1
3,1,Vagabonds,N. Ferreira,2.0,0,18,0
3,1,Vagabonds,Y. Petrov,1.0,0,10,0
3,2,Wanderers,H. Fischer,1.3,0,8,1
3,2,Wanderers,J. Okafor,1.0,0,6,1
3,2,Wanderers,M. Osei,1.4,0,10,2
4,1,Rovers,D. Ibrahim,2.0,0,12,3
4,1,Rovers,H. Osei,2.0,0,14,1
4,1,Rovers,F. Kimura,1.0,0,6,0
4,2,Drifters,R. Alaoui,2.0,0,14,1
4,2,Drifters,C. Nilsson,1.5,0,12,0
4,2,Drifters,E. Marchetti,1.0,0,8,0
5,1,Vagabonds,B. Bergstrom,1.0,0,8,1
5,1,Vagabonds,N. Ferreira,2.0,0,17,0
