MatchNo,Round,Team1,Team2,Time,Status,BattedFirst,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Notes
1,Group A,Wanderers,Nomads,09:30,Complete,1,42,2,5.0,38,4,5.0,
2,Group B,Drifters,Ramblers,09:30,Complete,2,36,2,4.3,35,3,5.0,
3,Group A,Wanderers,Vagabonds,10:10,Complete,1,50,1,5.0,28,5,4.1,
4,Group B,Drifters,Rovers,10:10,Complete,1,33,5,5.0,34,1,4.5,
5,Group A,Nomads,Vagabonds,10:50,Live,1,25,1,3.0,,,,
6,Group B,Ramblers,Rovers,10:50,Scheduled,,,,,,,,
7,Semi Final 1,TBC,TBC,13:00,Scheduled,,,,,,,,Winner Group A v Runner-up Group B
8,Semi Final 2,TBC,TBC,13:00,Scheduled,,,,,,,,Winner Group B v Runner-up Group A
9,Wooden Spoon,TBC,TBC,12:20,Scheduled,,,,,,,,3rd-placed teams in each group
10,3rd Place Playoff,TBC,TBC,14:00,Scheduled,,,,,,,,Losers of the semi-finals
11,Final,TBC,TBC,14:40,Scheduled,,,,,,,,Winners of the semi-finals
